Local,CEP,address_type,address_name,address,state,district,lat,lng,city,city_ibge,ddd
1º Cep do Brasil,01001000,Praça,da Sé,Praça da Sé,SP,Sé,-23.55068,-46.63412,São Paulo,3550308,11
Edifício Copan,01046010,Avenida,Ipiranga,Avenida Ipiranga,SP,República,-23.5467,-46.64566,São Paulo,3550308,11
Edifício Altino Arantes (Banespão),01014900,Rua,"João Brícola, 24","Rua João Brícola, 24",SP,Centro,-23.54558,-46.63401,São Paulo,3550308,11
Centro Cultural Banco do Brasil,01012000,Rua,Álvares Penteado,Rua Álvares Penteado,SP,Centro,-23.54731,-46.63477,São Paulo,3550308,11
Edifício Martinelli,01011100,Rua,São Bento,Rua São Bento,SP,Centro,-23.54695,-46.63559,São Paulo,3550308,11
Luz,01032001,Rua,Brigadeiro Tobias,Rua Brigadeiro Tobias,SP,Centro,-23.54038,-46.6354,São Paulo,3550308,11
MASP,01310200,Avenida,Paulista,Avenida Paulista,SP,Bela Vista,-23.56317,-46.65433,São Paulo,3550308,11
Theatro Municipal de São Paulo,01037010,Praça,Ramos de Azevedo,Praça Ramos de Azevedo,SP,República,-23.5452348,-46.638615,São Paulo,3550308,11
Museu do Futebol,01234010,Praça,Charles Miller,Praça Charles Miller,SP,Pacaembu,-23.5448203,-46.6653505,São Paulo,3550308,11
Aquário de São Paulo,04275000,Rua,Huet Bacelar,Rua Huet Bacelar,SP,Ipiranga,-23.59366,-46.61562,São Paulo,3550308,11
